"Category","Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"Existing","3109-025-034","Warehousing, Distribution, Storage","2007","3","61000"
"Existing","3109-023-025","Warehousing, Distribution, Storage","1985","3","61000"
"Existing","3012-024-036","Warehousing, Distribution, Storage","1981","3","61000"
"Existing","2866-060-035","Warehousing, Distribution, Storage","2006","3","61000"
"Existing","2839-002-036","Warehousing, Distribution, Storage","1989","3","61000"
"Existing","2613-025-053","Warehousing, Distribution, Storage","1983","3","61000"
"Existing","2528-007-019","Warehousing, Distribution, Storage","1980","3","61000"
"Existing","2049-019-059","Warehousing, Distribution, Storage","1986","3","61000"
"Existing","156090020","warehouse/dry storage","1997","3","60000"
"Existing","249040001","warehouse/dry storage","1980","3","60000"
"Existing","249110048","warehouse/dry storage","1986","3","60000"
"Existing","906070074","warehouse/dry storage","2000","3","60000"
"Existing","333040039","warehouse/dry storage","2008","3","60000"
"Existing","011339551","storage warehouse","1987","2","60000"
"Existing","014134115","storage warehouse","1990","2","60000"
"Existing","016740106","distribution warehouse","2008","3","60000"
"Existing","021127507","storage warehouse","2000","3","60000"
"Existing","020949150","storage warehouse","2000","3","60000"
"Existing","023819319","storage warehouse","1986","3","60000"
"Existing","023813204","distribution warehouse","2002","2","60000"
"Existing","028024108","distribution warehouse","2008","2","60000"
"Existing","028141110","storage warehouse","2008","2","60000"
"Existing","104617103","storage warehouse","1980","3","60000"
"Existing","308738104","storage warehouse","1983","2","60000"
"Existing","309119124","storage warehouse","2007","3","60000"
"Existing","8762-002-024","Warehousing, Distribution, Storage","2000","3","60000"
"Existing","8760-014-013","Warehousing, Distribution, Storage","1980","2","60000"
"Existing","8719-001-019","Warehousing, Distribution, Storage","1985","2","60000"
"Existing","8617-020-020","Warehousing, Distribution, Storage","2002","3","60000"
"Existing","8604-018-010","Warehousing, Distribution, Storage","1980","3","60000"
"Existing","8535-011-012","Warehousing, Distribution, Storage","1982","3","60000"
"Existing","8378-016-010","Warehousing, Distribution, Storage","1980","2","60000"
"Existing","8366-009-017","Warehousing, Distribution, Storage","1984","3","60000"
"Existing","8366-008-037","Warehousing, Distribution, Storage","1987","3","60000"
"Existing","8354-018-005","Warehousing, Distribution, Storage","1987","3","60000"
"Existing","8327-013-019","Warehousing, Distribution, Storage","2020","3","60000"
"Existing","8326-017-042","Warehousing, Distribution, Storage","1987","3","60000"
"Existing","8264-020-031","Warehousing, Distribution, Storage","1999","3","60000"
"Existing","8264-008-070","Warehousing, Distribution, Storage","2003","2","60000"
"Existing","8206-024-004","Warehousing, Distribution, Storage","1980","2","60000"
"Existing","8206-012-050","Warehousing, Distribution, Storage","1988","2","60000"
"Existing","8118-020-038","Warehousing, Distribution, Storage","1990","2","60000"
"Existing","8011-020-040","Warehousing, Distribution, Storage","1998","3","60000"
"Existing","8011-016-036","Warehousing, Distribution, Storage","2005","2","60000"
"Existing","7436-002-007","Warehousing, Distribution, Storage","1980","3","60000"
"Existing","7336-003-040","Warehousing, Distribution, Storage","1980","2","60000"
"Existing","7318-019-033","Warehousing, Distribution, Storage","1981","2","60000"
"Existing","7318-019-019","Warehousing, Distribution, Storage","1980","3","60000"
"Existing","7318-009-096","Warehousing, Distribution, Storage","2000","3","60000"
"Existing","7318-002-063","Warehousing, Distribution, Storage","1980","3","60000"
"Existing","7306-009-027","Warehousing, Distribution, Storage","1990","2","60000"
"Existing","7121-011-039","Warehousing, Distribution, Storage","1989","2","60000"
"Existing","7003-005-020","Warehousing, Distribution, Storage","1980","2","60000"
"Existing","7001-010-055","Warehousing, Distribution, Storage","1985","2","60000"
"Existing","6348-020-061","Warehousing, Distribution, Storage","2006","3","60000"
"Existing","6336-002-032","Warehousing, Distribution, Storage","2003","2","60000"
"Existing","6332-012-053","Warehousing, Distribution, Storage","1980","2","60000"
"Existing","6332-008-042","Warehousing, Distribution, Storage","2007","2","60000"
"Existing","6332-002-020","Warehousing, Distribution, Storage","1980","2","60000"
"Existing","6321-008-030","Warehousing, Distribution, Storage","1980","2","60000"
"Existing","6129-005-056","Warehousing, Distribution, Storage","1985","3","60000"
"Existing","5460-003-015","Warehousing, Distribution, Storage","1980","2","60000"
"Existing","5442-032-002","Warehousing, Distribution, Storage","2001","2","60000"
"Existing","5171-024-007","Warehousing, Distribution, Storage","1986","3","60000"
"Existing","5169-033-016","Warehousing, Distribution, Storage","2000","3","60000"
"Existing","4129-033-900","Warehousing, Distribution, Storage","1980","3","60000"
"Existing","3128-010-011","Warehousing, Distribution, Storage","1980","2","60000"
"Existing","3126-015-039","Warehousing, Distribution, Storage","1991","3","60000"
"Existing","2836-015-902","Warehousing, Distribution, Storage","1980","3","60000"
"Existing","2770-013-003","Warehousing, Distribution, Storage","1980","3","60000"
"Existing","2747-025-800","Warehousing, Distribution, Storage","1980","3","60000"
"Existing","2653-017-060","Warehousing, Distribution, Storage","1987","2","60000"
"Existing","2250-002-147","Warehousing, Distribution, Storage","1997","2","60000"
"Planned and Approved","goodman industrial park iii","TBD","2025","3","60000"
"Existing","142150084","warehouse/dry storage","1989","2","59000"
"Existing","910150019","warehouse/dry storage","2008","2","59000"
"Existing","011339446","storage warehouse","2001","2","59000"
"Existing","013213228","transit warehouse (truck terminal)","1980","2","59000"
"Existing","014120106","storage warehouse","2017","2","59000"
"Existing","018184126","storage warehouse","1980","2","59000"
"Existing","020926223","storage warehouse","1980","2","59000"
"Existing","020949124","storage warehouse","1980","2","59000"
"Existing","020947111","distribution warehouse","1998","2","59000"
"Existing","022911130","distribution warehouse","2001","2","59000"
"Existing","023802137","storage warehouse","1996","2","59000"
"Existing","066009103","storage warehouse","2007","2","59000"
"Existing","105512108","storage warehouse","2017","2","59000"
"Existing","105512106","storage warehouse","2017","2","59000"
"Existing","8719-001-016","Warehousing, Distribution, Storage","1985","2","59000"
"Existing","8576-027-026","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","8564-009-021","Warehousing, Distribution, Storage","2001","2","59000"
"Existing","8378-013-078","Warehousing, Distribution, Storage","2004","2","59000"
"Existing","8348-022-053","Warehousing, Distribution, Storage","2014","2","59000"
"Existing","8313-001-008","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","8201-028-007","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","8082-033-034","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","8069-007-047","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","8022-034-007","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","8009-025-067","Warehousing, Distribution, Storage","2002","2","59000"
"Existing","7428-010-003","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","7357-028-010","Warehousing, Distribution, Storage","1989","2","59000"
"Existing","7357-027-024","Warehousing, Distribution, Storage","1987","2","59000"
"Existing","7352-019-062","Warehousing, Distribution, Storage","1995","2","59000"
"Existing","7352-019-030","Warehousing, Distribution, Storage","1990","2","59000"
"Existing","7344-004-026","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","7339-012-017","Warehousing, Distribution, Storage","2002","2","59000"
"Existing","7336-003-038","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","7306-020-041","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","7306-002-064","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","7022-014-023","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","7010-016-043","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","7005-006-048","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","7003-003-029","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","6368-003-002","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","6336-012-037","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","6336-003-065","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","6309-026-028","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","6304-021-045","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","6304-018-023","Warehousing, Distribution, Storage","1991","2","59000"
"Existing","6150-037-044","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","6132-006-018","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","6126-001-017","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","5243-020-018","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","5243-019-010","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","5192-002-016","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","5171-010-012","Warehousing, Distribution, Storage","2003","2","59000"
"Existing","3126-031-057","Warehousing, Distribution, Storage","1981","2","59000"
"Existing","3109-024-048","Warehousing, Distribution, Storage","1991","2","59000"
"Existing","3022-011-015","Warehousing, Distribution, Storage","1983","2","59000"
"Existing","3005-046-020","Warehousing, Distribution, Storage","2008","2","59000"
"Existing","2866-009-016","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","2784-003-053","Warehousing, Distribution, Storage","1986","2","59000"
"Existing","2746-013-034","Warehousing, Distribution, Storage","1989","2","59000"
"Existing","2746-012-039","Warehousing, Distribution, Storage","2005","2","59000"
"Existing","2537-014-047","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","2537-003-048","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","2519-022-047","Warehousing, Distribution, Storage","2003","2","59000"
"Existing","2513-028-032","Warehousing, Distribution, Storage","1985","2","59000"
"Existing","2149-005-028","Warehousing, Distribution, Storage","1980","2","59000"
"Existing","160040052","warehouse/dry storage","1980","2","58000"
"Existing","175160047","warehouse/dry storage","2021","2","58000"
"Existing","172420014","warehouse/dry storage","2004","2","58000"
"Existing","021122204","storage warehouse","1990","2","58000"
"Existing","021127523","storage warehouse","1999","2","58000"
"Existing","022934115","storage warehouse","2016","2","58000"
"Existing","023809181","storage warehouse","1990","2","58000"
"Existing","023805254","storage warehouse","2020","2","58000"
"Existing","023824109","storage warehouse","1999","2","58000"
"Existing","023422106","storage warehouse","1987","2","58000"
"Existing","041004143","storage warehouse","2007","2","58000"
"Existing","042202224","storage warehouse","1980","2","58000"
"Existing","041527239","storage warehouse","1986","2","58000"
"Existing","045945110","storage warehouse","1992","2","58000"
"Existing","102122125","storage warehouse","1990","2","58000"
"Existing","104920224","storage warehouse","2016","2","58000"
"Existing","104928104","distribution warehouse","1980","2","58000"
"Existing","111002106","storage warehouse","2017","2","58000"
"Existing","312926145","storage warehouse","1994","2","58000"
"Existing","8760-001-013","Warehousing, Distribution, Storage","1980","2","58000"
"Existing","8541-017-054","Warehousing, Distribution, Storage","2017","2","58000"
"Existing","8435-015-220","Warehousing, Distribution, Storage","2018","2","58000"
"Existing","8417-035-014","Warehousing, Distribution, Storage","2001","2","58000"
"Existing","8378-013-064","Warehousing, Distribution, Storage","1998","2","58000"
"Existing","8264-027-004","Warehousing, Distribution, Storage","1980","2","58000"
"Existing","8242-026-001","Warehousing, Distribution, Storage","1980","2","58000"
"Existing","8114-011-007","Warehousing, Distribution, Storage","1999","2","58000"
